N,P,K,PointID,OC,pH,Clay,Silt,Sand
1.6,9.3,19.4,46044840,26.0,5.34,10.0,47.0,43.0
0.9,10.4,27.5,46664834,20.9,4.12,7.0,38.0,56.0
0.7,12.4,11.7,48665056,15.0,4.8,5.0,25.0,70.0
1.9,16.2,34.2,45564752,29.3,4.32,10.0,55.0,35.0
0.8,17.2,14.4,45764748,10.2,4.62,7.0,48.0,45.0
3.5,8.5,16.4,45584738,35.2,4.97,8.0,50.0,42.0
1.4,5.4,10.0,45564742,12.6,5.59,7.0,47.0,46.0
0.6,35.6,13.8,45764738,8.7,4.7,10.0,42.0,48.0
1.2,4.5,10.7,46024734,14.2,5.31,5.0,34.0,61.0
6.9,8.3,67.4,45804726,123.9,6.15,6.0,54.0,39.0
1.1,7.9,17.0,45544744,13.9,4.6,9.0,47.0,44.0
3.8,10.0,55.1,47565014,87.6,4.79,6.0,36.0,57.0
3.9,15.4,65.4,47324868,111.4,4.55,6.0,37.0,57.0
0.8,22.0,20.4,47084862,17.6,4.15,7.0,31.0,62.0
0.8,11.3,28.4,47204874,18.5,4.65,23.0,47.0,30.0
0.7,9.1,14.9,47184868,12.2,4.6,11.0,52.0,38.0
2.2,25.7,58.7,47344852,67.6,4.4,6.0,37.0,57.0
2.4,5.4,18.7,45384674,28.2,5.28,11.0,54.0,35.0
1.2,12.1,21.7,46164762,13.9,4.32,7.0,42.0,51.0
0.7,27.8,19.9,47344996,11.2,4.21,7.0,39.0,54.0
2.4,12.2,74.6,45404744,24.2,4.36,40.0,52.0,8.0
2.7,6.3,23.9,45004612,58.1,4.45,8.0,55.0,37.0
1.2,4.5,26.0,45484756,17.2,4.36,15.0,51.0,34.0
3.1,19.6,63.2,47204802,74.9,4.34,6.0,39.0,55.0
1.4,15.9,50.1,47564910,23.8,4.34,28.0,53.0,19.0
2.5,12.6,34.2,47524906,48.2,4.3,9.0,39.0,52.0
1.4,5.6,56.1,45624636,28.8,3.98,7.0,48.0,46.0
2.3,7.6,44.1,45504628,52.9,4.16,6.0,40.0,53.0
2.0,19.0,40.6,45224612,39.7,4.07,5.0,39.0,56.0
0.8,4.8,14.6,45144632,9.5,5.68,7.0,54.0,39.0
1.6,15.8,20.9,47024834,22.3,4.38,4.0,33.0,63.0
0.8,16.4,23.0,48405016,13.1,4.7,12.0,66.0,22.0
6.3,6.7,731.7,54702802,72.5,5.4,14.0,60.0,26.0
3.1,4.8,38.9,54062582,30.5,5.29,11.0,48.0,41.0
1.9,11.3,34.8,53862602,34.4,3.92,7.0,44.0,48.0
5.3,17.6,249.8,55082602,61.1,6.46,23.0,55.0,22.0
3.7,6.6,415.4,54822720,39.8,4.57,26.0,60.0,14.0
3.1,7.0,363.4,53382660,32.2,5.22,17.0,48.0,34.0
1.5,5.2,140.5,54922754,11.9,5.82,39.0,53.0,8.0
2.4,12.1,333.6,53122718,22.1,5.83,28.0,52.0,20.0
2.5,7.6,83.2,54562744,22.0,4.55,28.0,55.0,17.0
7.3,38.3,67.0,53122690,134.3,3.54,10.0,50.0,40.0
5.8,10.1,457.7,54222776,63.5,5.72,30.0,59.0,11.0
3.4,6.8,104.1,55262776,39.6,4.95,22.0,63.0,15.0
8.2,22.9,95.8,55142600,124.7,5.7,7.0,42.0,51.0
2.0,13.8,76.8,53802622,22.6,4.71,8.0,38.0,55.0
3.0,8.2,63.2,53942614,24.9,4.52,14.0,50.0,36.0
2.4,4.5,69.4,55462708,21.6,4.52,18.0,56.0,26.0
3.7,16.3,111.3,55602766,48.2,4.23,15.0,51.0,34.0
1.5,4.1,34.0,52482540,14.9,4.5,16.0,41.0,43.0
10.2,21.7,141.4,54842736,185.0,3.97,13.0,61.0,26.0
1.5,6.2,67.5,54602834,19.9,3.94,16.0,55.0,28.0
3.8,6.0,49.6,54202838,32.8,5.71,15.0,57.0,28.0
3.0,5.6,106.0,54602838,40.2,4.42,13.0,63.0,24.0
2.1,5.6,32.1,53482574,19.4,4.17,16.0,48.0,36.0
5.9,29.8,166.1,55102808,101.8,4.18,16.0,52.0,32.0
3.4,8.9,107.8,54562856,56.5,4.21,22.0,52.0,26.0
3.6,16.7,212.5,55402648,32.3,5.98,38.0,47.0,15.0
1.9,18.7,86.0,55202632,19.8,5.97,21.0,46.0,33.0
4.5,29.2,113.5,55022632,46.5,4.08,11.0,55.0,34.0
6.7,21.8,183.1,54682810,67.9,5.11,13.0,58.0,28.0
2.3,8.8,44.5,54462846,29.3,4.04,21.0,49.0,30.0
2.0,15.9,137.2,55462646,14.4,5.73,20.0,60.0,19.0
5.1,23.3,83.7,54502590,56.1,4.5,8.0,49.0,42.0
5.1,22.8,102.6,53262546,70.5,3.82,13.0,56.0,31.0
6.8,22.8,337.0,55062712,87.6,4.23,21.0,65.0,13.0
3.6,5.7,77.6,54682846,40.7,3.93,33.0,51.0,17.0
4.3,20.6,58.7,53742594,85.3,4.08,9.0,46.0,45.0
3.0,10.2,37.1,55802642,37.4,3.85,11.0,43.0,46.0
1.9,48.0,248.0,55642682,16.8,5.14,33.0,39.0,28.0
2.3,8.3,134.3,55642690,23.5,5.41,33.0,48.0,19.0
2.9,69.0,53.5,54482836,34.8,4.1,14.0,47.0,39.0
2.9,26.2,86.4,53602612,30.3,4.15,10.0,47.0,43.0
3.4,7.8,112.2,54062824,33.4,4.42,28.0,60.0,11.0
3.8,32.3,108.1,53282696,68.2,3.94,6.0,37.0,56.0
2.3,17.3,66.0,53782594,31.7,5.08,3.0,24.0,73.0
2.8,15.1,49.2,54962784,33.3,4.16,19.0,62.0,19.0
6.1,91.3,92.5,52902694,62.3,3.65,18.0,63.0,19.0
4.4,7.2,66.2,54602726,39.7,4.58,13.0,49.0,38.0
2.5,4.7,21.3,54962816,19.2,5.43,11.0,49.0,40.0
3.8,10.6,55.1,55042608,38.9,4.74,17.0,54.0,29.0
6.0,19.9,72.5,55002814,64.1,3.96,13.0,57.0,29.0
2.7,9.1,29.9,55002594,38.6,4.39,13.0,48.0,39.0
3.2,7.6,135.7,55222698,31.1,4.96,18.0,57.0,25.0
5.7,24.7,122.6,55262674,49.6,7.09,25.0,64.0,11.0
7.7,17.6,83.7,54682788,149.9,3.87,12.0,54.0,33.0
2.8,10.8,58.3,55242762,26.6,4.68,12.0,59.0,29.0
